,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Demographic,Genre,Theme,Demographics
192,恐龙宝贝剧场版,,['Movie'],1,Finished Airing,"Apr 29, 2011",,,"None found,","None found,","None found,",Original,,,1 hr. 25 min.,PG - Children,[],#19528,#23840,115,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Konglong Baobei,Konglong Baobei (Movie),,,,['Kids'],['Adventure'],,
193,西柏坡,,['Movie'],1,Finished Airing,"May 26, 2011",,,"None found,","None found,",['Shanghai Animation Film Studio'],Other,,,1 hr. 13 min.,PG - Children,[],#15420,#24200,108,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (Movie) Xi Bai Po 2: Yingxiong Wang Er Xiao', '']",Xi Bai Po,"Xibai Po, Xibaipo",,,,['Kids'],,['Historical'],
194,엄마 까투리,,['Movie'],1,Finished Airing,"Jun 2, 2011",,,"None found,","None found,","None found,",Book,,,28 min.,PG - Children,[],#17893,#25930,81,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Eomma Katuri,Eomma Kkatuli,,,,['Kids'],['Fantasy'],['Anthropomorphic'],
195,会長はメイド様！おまけだよ！,Maid Sama!: It's an Extra!,['Special'],1,Finished Airing,"May 11, 2011",,,"None found,",['Sentai Filmworks'],['J.C.Staff'],['Manga'],,,13 min.,PG-13 - Teens 13 or older,7.49,#2007,#1779,"135,477",183,69630,"Upon returning home from her part-time job, Misaki Ayuzawa asks her mother to mend her maid uniform, which she accidentally tore while moving potted plants at Maid Latte. However, Misaki's younger sister, Suzuna, volunteers to fix the uniform instead. After quickly repairing the damage, Suzuna shows interest in trying on the maid attire, greatly alarming Misaki. As she attempts to prevent the embarrassing situation from escalating, Misaki must also tend to unexpected guests in her house! [Written by MAL Rewrite]",[],Kaichou wa Maid-sama!: Omake da yo!,"Kaicho wa Maid-sama! Special, Kaicho wa Maidsama! Special, Kaichou wa Meido Sama Special, Class President is a Maid! Special",,,,['Shoujo'],['Comedy'],['School'],
196,黒執事II: シエル・イン・ワンダーランド,Black Butler II Specials,['Special'],6,Finished Airing,"Oct 27, 2010 to May 25, 2011",,,['Square Enix'],['Funimation'],['A-1 Pictures'],['Manga'],"['Comedy', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,7.39,#2392,#1827,"129,991",363,66110,"According to the Kuroshitsuji website, there are 6 OVAs included in the DVD releases. DVD 2: Ciel in Wonderland (Part 1) This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story. DVD 3: Welcome to the Phantomhive's This is meant to be like a simulation game. Elizabeth invites a lady (perhaps the viewer) to join her at a ball held at the Phantomhive mansion. DVD 5: The Making of Kuroshitsuji II This is a Hollywood style documentary with behind the scenes interviews with Sebastian, Ciel, Claude and Alois etc. DVD 6: Ciel in Wonderland (Part 2) This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story. DVD 8: The Tale of William the Shinigami William and Grell have to train new shinigami and reminisce about when they were training partners. DVD 9: The Spider's Intention The life in Trancy household and how those work under Alois is caring for him.",[],Kuroshitsuji II Specials,"Ciel in Wonderland, Welcome to the Phantomhive Family",,,,['Shounen'],,['Parody'],
197,青の祓魔師(エクソシスト) 裏エク,Blue Exorcist: Ura Eku,['Special'],10,Finished Airing,"Jun 22, 2011 to Mar 21, 2012",,,['Aniplex'],['Aniplex of America'],['A-1 Pictures'],['Manga'],,,1 min. per ep.,PG-13 - Teens 13 or older,7.04,#4185,#2346,"91,562",48,39233,"Ura Ex, extra short anime included in Blu-ray and the DVD releases of Ao no Exorcist.",[],Ao no Exorcist: Ura Ex,"Ao no Exorcist Specials, Ao no Exorcist: Ura Eku, Ao no Futsumashi, Blue Exorcist Specials, Ao no Exorcist Omake",,,,['Shounen'],['Comedy'],,
198,屍鬼,Shiki Specials,['Special'],2,Finished Airing,"May 25, 2011 to Jun 22, 2011",,,['Aniplex'],['Funimation'],['Daume'],['Manga'],"['Horror', 'Mystery', 'Supernatural', 'Suspense']","['Gore', 'Psychological', 'Vampire']",23 min. per ep.,R - 17+ (violence & profanity),7.75,#1157,#2689,"73,592",88,41498,"As the epidemic terrorizes the quiet secluded village of Sotoba, three women have found themselves amidst the escalating crisis. Nao Yasumori is tormented by visions of the deceased; Kanami Yano must keep a secret at risk of losing a loved one; and Motoko Maeda goes through insurmountable grief as the mysterious illness spreads throughout her family. With rising tensions testing the limits of family relationships, even the smallest of mistakes can easily sever the ties that bind . [Written by MAL Rewrite]","['Adaptation (Manga) Shiki', '']",Shiki Specials,Corpse Demon Specials,,,,['Shounen'],,,
199,アマガミSS 橘美也編 イモウト,Amagami SS: Little Sister,['Special'],1,Finished Airing,"Apr 29, 2011",,,['Pony Canyon'],['Sentai Filmworks'],['AIC'],Visual novel,,,24 min.,PG-13 - Teens 13 or older,7.18,#3485,#3104,"56,786",27,32624,"Miya Tachibana, assuming her annoying brother Junichi will be unlucky in love and alone forever, decides to spy on him at school after hearing that some of her friends find him to be kind and caring. Through her spying, she learns that he gets along well with girls at school, which results in an even bigger misunderstanding, as Miya wrongfully assumes he likes men since he doesn't have a girlfriend. However, after she herself rejects a boy, Miya starts questioning how she views Junichi as she is reminded of Junichi's similar experience from two years earlier. [Written by MAL Rewrite]",[],Amagami SS: Tachibana Miya-hen - Imouto,"Amagami SS: Imouto, Amagami SS Special, Amagami SS Tachibana Miya Arc, Amagami SS Tachibana Miya Chapter, Amagami SS Episode 26",,,,,,['School'],
200,君に届け ミニトド劇場,Kimi ni Todoke: From Me to You Season 2 - Mini Theater,['Special'],3,Finished Airing,"Apr 20, 2011 to Sep 21, 2011",,,"None found,","None found,",['Production I.G'],['Manga'],"['Comedy', 'Romance']",,5 min. per ep.,PG-13 - Teens 13 or older,7.32,#2729,#3219,"52,633",43,20902,"DVD and BD-Box original animation shorts. Episodes 1 and 2 (DVD and BD) are short fairy tales of Cinderella and Snow White from Kurumi's telling, respectively. Episode 3 (BD only) is a stage performance of Romeo and Juliet by Kazehaya and Sawako with Chizuru, Ayane, Ryuu in the backstage and Miura as the announcer.",[],Kimi ni Todoke 2nd Season: Minitodo Gekijou,"Kimi ni Todoke 2nd Season: Minitodo Gekijou, Kimi ni Todoke: From Me to You 2nd Season Specials, Reaching You 2nd Season Specials",,,,['Shoujo'],,,
201,はじけちゃう! ドキドキトラブルフリージング,,['Special'],6,Finished Airing,"Mar 30, 2011 to Aug 24, 2011",,,['Media Factory'],['Funimation'],['A.C.G.T.'],['Manga'],"['Action', 'Comedy', 'Ecchi']",,3 min. per ep.,R+ - Mild Nudity,6.55,#6794,#3432,"47,054",28,24933,These episodes focus on ecchi and comedy and don't have anything to do with the main story of Freezing.,[],Freezing Specials,Hajikechau! Dokidoki Trouble Freezing,,,,['Seinen'],,,
202,Panty & Stocking in Sanitarybox,,['Special'],1,Finished Airing,"Apr 28, 2011",,,"None found,",['Funimation'],['Gainax'],Original,"['Action', 'Avant Garde', 'Comedy', 'Supernatural', 'Ecchi']",,8 min.,R - 17+ (violence & profanity),6.39,#7749,#3664,"41,893",61,21872,A special short included with the 5th DVD/BD release.,[],Panty & Stocking in Sanitarybox,"Panty & Stocking with Garterbelt Special, Panty and Stocking with Garterbelt In Sanitary Box",,,,,,['Parody'],
203,百花繚乱 サムライガールズ 〜乙女♥嬉し恥ずかし将士の契り〜,,['Special'],6,Finished Airing,"Nov 25, 2010 to Apr 27, 2011",,,['Hobby Japan'],['Sentai Filmworks'],['Arms'],['Light novel'],,,3 min. per ep.,R+ - Mild Nudity,6.61,#6460,#4621,"25,807",13,11855,Special episodes added to DVDs and Blu-rays.,[],Hyakka Ryouran: Samurai Girls Specials,"Hyakka Ryouran ~Otome Ureshi Hazukashi Shoshi no Chigiri~, Hyakka Ryouran: Samurai Girls OVA",,,Samurai Girls: 6 Mini-OAV,,['Ecchi'],,
204,侵略!イカ娘 ミニイカ娘の番外編,The Squid Girl Specials,['Special'],2,Finished Airing,"May 3, 2011 to May 27, 2011",,,"None found,",['Sentai Filmworks'],['Diomedéa'],['Manga'],,,4 min. per ep.,G - All Ages,7.28,#2900,#4731,"24,318",12,12525,"""Mini Ika-Musume"" side-story episodes.",[],Shinryaku! Ika Musume Specials,"Mini Ika Musume Bangaihen, The Invader Comes From the Bottom of the Sea!",,,,['Shounen'],['Comedy'],['Anthropomorphic'],
205,べるぜバブ,,['Special'],16,Finished Airing,"Jun 29, 2011 to Sep 26, 2012",,,"['Pierrot', 'Opera House']","None found,",['Pierrot Plus'],['Manga'],"['Action', 'Comedy', 'Supernatural']","['Childcare', 'Delinquents', 'Mythology', 'School']",3 min. per ep.,PG-13 - Teens 13 or older,7.32,#2705,#4732,"24,312",23,7304,Beelzebub specials included in the BD/DVD releases.,[],Beelzebub Specials,"Beelzebub: Hashire! Beel-bo Keiji!!, Beelzebub: Kaiketsu!! Beel-bo Meitantei Suiri, Beelzebub: Sakigake!! Beel to Shinsengumi",,,,['Shounen'],,,
206,日常 オリジナル次回予告,My Ordinary Life Specials,['Special'],25,Finished Airing,"Jun 24, 2011 to Jun 29, 2012",,,"None found,","None found,",['Kyoto Animation'],['Manga'],,"['Gag Humor', 'School']",30 sec. per ep.,PG-13 - Teens 13 or older,7.04,#4217,#5096,"20,424",27,5425,Original next episode trailers included in the Blu-ray and DVD volumes of Nichijou.,[],Nichijou: Original Jikai Yokoku,"Nichijou Specials, Everyday Specials",,,,,['Comedy'],,
207,Aチャンネル,A-Channel: +A-Channel,['Special'],11,Finished Airing,"May 25, 2011 to Oct 26, 2011",,,['Aniplex'],['Sentai Filmworks'],['Studio Gokumi'],['4-koma manga'],"['Comedy', 'Slice of Life']","['CGDCT', 'School']",2 min. per ep.,PG-13 - Teens 13 or older,6.95,#4585,#5119,"20,191",11,9995,Extra specials from the DVD/BDs.,[],A-Channel: +A-Channel,A-Channel Specials,,,,,,,
208,あそびにいくヨ! あそびにおいで おわり,,['Special'],1,Finished Airing,"Jun 15, 2011",,,"None found,","None found,",['AIC PLUS+'],['Light novel'],,,16 sec.,PG-13 - Teens 13 or older,6.23,#8667,#6300,"11,776",10,4643,Short special bundled with Asobi ni Iku yo! Asobi ni Oide OVA.,[],Asobi ni Iku yo!: Asobi ni Oide - Owari,"Asobi ni Iku yo! Owari, Let's Go Play! Special, Let's Go Play! Owari, Cat Planet Cuties Special, Cat Planet Cuties Owari",,,,,['Comedy'],,
209,TIGER & BUNNY （タイガー・アンド・バニー）,Tiger & Bunny Pilot,['Special'],1,Finished Airing,"May 27, 2011",,,"None found,","None found,",['Sunrise'],Original,"['Action', 'Comedy']",,2 min.,PG-13 - Teens 13 or older,6.16,#9042,#6717,"10,149",6,3895,The pilot episode for Tiger & Bunny released on the first DVD & BD volume.,"['Sequel (TV) Tiger & Bunny', '']",Tiger & Bunny Pilot,"Tiger and Bunny Pilot, Taibani Pilot",,,,,,['Super Power'],
210,戦国BASARA 弐: 竜虎、頂の誓い! 熱き未来へ駆ける魂!!,,['Special'],1,Finished Airing,"Apr 6, 2011",,,"None found,",['Funimation'],['Production I.G'],Game,,"['Historical', 'Samurai']",26 min.,PG-13 - Teens 13 or older,7.17,#3541,#7470,"7,767",3,3081,An extra episode included on the 7th DVD.,[],"Sengoku Basara Ni: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!","Sengoku Basara Two Episode 13, Sengoku Basara Two Special, Sengoku Basara 2",,,,,['Action'],,
211,スケットダンス 徹底分析スペシャル,,['Special'],1,Finished Airing,"May 3, 2011",,,"None found,","None found,",['Tatsunoko Production'],Unknown,,,24 min.,PG-13 - Teens 13 or older,6.94,#4629,#8557,"5,636",3,1580,"Special aired a couple of days before episode 5. It's a mix of explanations, recaps, and a seiyuu interview.",[],SKET Dance: Tettei Bunseki Special,SKET Dance: Demystifying Special,,,,['Shounen'],,['School'],
212,そふてにっ,,['Special'],6,Finished Airing,"Jun 22, 2011 to Nov 23, 2011",,,"None found,",['Sentai Filmworks'],['Xebec'],['Manga'],"['Comedy', 'Ecchi']",,3 min. per ep.,R+ - Mild Nudity,6.08,#9480,#9065,"4,772",2,2166,Special episodes from the Blu-rays and DVDs.,[],Softenni Specials,,,,,,,,
213,かってに改蔵,,['Special'],3,Finished Airing,"May 25, 2011 to Oct 26, 2011",,,"None found,","None found,",['Shaft'],['Manga'],"['Comedy', 'Sci-Fi']","['Parody', 'School']",7 min. per ep.,R+ - Mild Nudity,6.32,#8167,#10327,"3,190",2,762,3 specials released with the BD/DVDs.,"['Adaptation (Manga) Katte ni Kaizou', '']",Katte ni Kaizou Specials,Katteni Kaizou Specials,,,,['Shounen'],,,
214,ドラえもん (2005) Specials,,['TV Special'],Unknown,Currently Airing,"Apr 15, 2005 to ?",,,"None found,","None found,",['Shin-Ei Animation'],Unknown,,,45 min.,PG - Children,6.79,#5402,#12791,"1,502",5,469,"59 Doraemon (2005) TV Specials exist as of January 24, 2018.",[],Doraemon (2005) Specials,Doraemon Crayon Shin-chan Haru da! Eiga da! 3-Jikan Anime Matsuri 2,,,,['Seinen'],['Comedy'],,
215,スティッチ！～ずっと最高のトモダチ～,Stitch: Heroes are Hard,['Special'],1,Finished Airing,"Jun 19, 2011",,,"None found,","None found,",['Shin-Ei Animation'],Other,"['Adventure', 'Comedy']",,25 min.,PG - Children,5.74,#11187,#14386,965,1,282,Ace appears to save the day and Stitch decides to help him.,"['Sequel (TV Special) Stitch to Suna no Wakusei', '']",Stitch!: Zutto Saikou no Tomodachi Special,"Stitch! Best Friends Forever Special, Stitch!: Zutto Saikou no Tomodachi Episode 30, Ace's Back",,,,['Kids'],,,
216,クレヨンしんちゃん Specials,,['Special'],Unknown,Currently Airing,"Dec 28, 1992 to ?",,,"None found,","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,48 min.,G - All Ages,[],#17444,#15454,710,2,,"87 Crayon Shin-chan TV Specials exist as of August 6, 2022.",[],Crayon Shin-chan Specials,,,,,['Seinen'],,['School'],
217,つながるアニマル,,['TV Special'],1,Finished Airing,"Jun 17, 2011",,,['NHK'],"None found,","None found,",Unknown,,,5 min.,PG - Children,[],#15027,#20764,243,0,,"As the forest begins to thaw, animals are looking forward to spring. But they need to help each other to survive the period of when the flora has not yet produced food.",[],Tsunagaru Animal,Animal Lead,,,,['Kids'],,,
