,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Genre,Theme,Demographics
219,McDull Movie 4,麥兜噹噹伴我心,McDull: The Pork of Music,['Movie'],1,Finished Airing,"Jul 10, 2012",,,"None found,","None found,","None found,",Unknown,,,1 hr. 15 min.,G - All Ages,[],#20091,#19568,309,0,,"Hong-Kong made fourth sequel of ""My Life as McDull"". Springfield Kindergarten is desperately in need of money - The principal is behind on the rent, and the electricity is getting cut off. After a fundraising dinner ends in spectacular failure, the music-loving principal decides to form a student choir as last resort. With the help of a shady talent manager named Big M, the Springfield Kindergarten Choir becomes a huge success, and little McDull discovers that a little thickness really can make a great voice. (Source: AniDB)","['Prequel (Movie) McDull: Xiang Dang Dang', 'Sequel (Movie) McDull: Wo He Wo Mama']",McDull: Xiang Dang Dang Ban Wo Xin,,,,['Kids'],['Comedy'],['Anthropomorphic'],
220,,摩尔庄园Ⅱ：海妖宝藏,Legend of the Moles: The Treasure of Scylla,['Movie'],1,Finished Airing,"Jul 5, 2012",,,"None found,","None found,","None found,",Game,"['Adventure', 'Fantasy']",,1 hr. 35 min.,PG - Children,[],#20391,#20042,281,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (Movie) Mole Zhuang Yuan: Bing Shi Ji', 'Sequel (Movie) Mole Zhuang Yuan 3: Mohuan Lieche Da Maoxian']",Mole Zhuang Yuan II: Hai Yao Bao Cang,,,,['Kids'],,,
221,,神秘世界历险记,Yugo & Lala,['Movie'],1,Finished Airing,"Aug 10, 2012",,,"None found,","None found,","None found,",Original,"['Adventure', 'Comedy', 'Fantasy']",,1 hr. 19 min.,PG - Children,[],#14142,#20606,251,0,,"Precocious ten-year-old Yugo, a village girl who is also a student of martial arts, meets a white ""liger"", a half lion, half tiger creature born from a magic stone. It introduces itself as Lala. Shocked that she can understand the animal's language, Yugo chases it up a mountain where a waiting Cloud Whale swallows them both whole. Inside its giant stomach, there are many different creatures being transported to Animal Paradise, a fantastical kingdom that welcomes only 99 chosen ones every ten years. However, human beings are forbidden in the kingdom, any that remain for more than three days will be transformed into an animal forever. To return home, Yugo seeks the help of the seemingly ferocious Uncle Bear, a black bear with a sharp tongue but a gentle heart. As time is running out for Yugo, she and Lala uncover Tiger General's devious plot to open a magical portal into Lala's world and turn every human into an animal. (Source: Wikipedia)","['Sequel (Movie) Shenmi Shijie Lixian Ji 2', '']",Shenmi Shijie Lixian Ji,,,,,,,
222,The Adventures of Jinbao,大兵金宝历险记,The Adventures of Panda Warrior,['Movie'],1,Finished Airing,"Aug 10, 2012",,,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,1 hr. 18 min.,PG - Children,[],#17504,#23212,128,0,,"A peace-loving soldier from Ancient China is magically transported into a world ruled by an evil nine-headed snake. Transformed into a panda, he joins forces with a flying pig to free the once-peaceful Merryland from tyranny. But first he must train to be the kingdom’s most courageous panda warrior. (Source: Letterboxd)",[],Dabing Jinbao Lixian Ji,,,,['Kids'],,['Anthropomorphic'],
223,,邋遢大王奇遇记,Slovenly Boy's Adventure,['Movie'],1,Finished Airing,"Aug 17, 2012",,,"None found,","None found,",['Shanghai Animation Film Studio'],Original,,,1 hr. 22 min.,PG - Children,[],#19764,#23493,123,0,,Movie version of Lata Dawang Qiyu Ji.,[],Lata Dawang Qiyu Ji (Movie),,,,['Kids'],,,
224,,宝贝女儿好妈妈之吃记忆的大雪球,Snowball The Memory Gobbler,['Movie'],1,Finished Airing,"Sep 30, 2012",,,"None found,","None found,","None found,",Original,,,1 hr. 22 min.,PG - Children,[],#16849,#24066,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Baobei Nuer Hao Mama: Chi Jiyi De Daxue Qiu,,,,['Kids'],['Comedy'],,
225,Bate La Er Chuanshuo,巴特拉尔传说,Bateelaer Saga,['Movie'],1,Finished Airing,"Aug 8, 2012",,,"None found,","None found,","None found,",Original,,,1 hr. 25 min.,PG - Children,[],#16880,#24607,100,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bateelaer Chuanshuo,,,,['Kids'],['Adventure'],,
226,Highschool DxD Specials,ハイスクールD×Dスペシャル,,['Special'],6,Finished Airing,"Mar 21, 2012 to Aug 29, 2012",,,"['Genco', 'Lantis']",['Funimation'],['TNK'],['Light novel'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'Mythology', 'School']",3 min. per ep.,R+ - Mild Nudity,7.27,#3016,#1204,"215,551",399,125547,"A series of 3-5 minute specials that were bundled with the HighSchool DxD DVD and Blu-rays. They are a stand alone set of episodes that are not a part of any story line in particular. Special 1: Going Sunbathing! - The Occult Research Club goes on a beach outing. Special 2: Issei's Private Training! - Issei is being given lessons in magic by Akeno. Special 3: A Little Bold, Koneko-Chan... Nyan! - Koneko accidentally has her personality reversed magically, making her incredibly sexually active and reversing her sexual preference. Special 4: The Untold Story of The Dress Break's Birth! - A few flashbacks of how Issei first found out and eventually perfected his special move, Dress Break. Special 5: Making Udon! - As part of a penalty for losing a bet, Sona and Tsubaki make udon for the Occult Research Club but the udon comes to life in a peculiar way... Special 6: Asia Transforms! - Asia wants to prove she is just as bad as any demon by using ideas found in Issei's magazines, going as far as dressing up like a harlot and seducing him. (Source: Wikipedia)",[],High School DxD Specials,,,,,,,
227,,男子高校生の日常,Daily Lives of High School Boys Specials,['Special'],6,Finished Airing,"Apr 3, 2012 to Sep 4, 2012",,,"None found,","['NIS America, Inc.']",['Sunrise'],['Web manga'],,"['Gag Humor', 'School']",3 min. per ep.,PG-13 - Teens 13 or older,7.82,#989,#1718,"141,665",192,76727,"The clueless boys of Sanada North High School never lack a new topic to dissect. Questions about girls are endless, the true meaning of being a man could be hidden in questionable chivalry, and there might be a moral side to silly pranks. With a different predicament always ongoing, the daily lives of high school boys are anything but boring. [Written by MAL Rewrite]",[],Danshi Koukousei no Nichijou Specials,,,,,['Comedy'],,
228,"Inu x Boku SS Special, Youko x Boku SS Special",妖狐×僕SS 御狐神くん変化 / スイッチ / おままごと,Inu X Boku Secret Service Episode 13,['Special'],1,Finished Airing,"Sep 26, 2012",,,['Aniplex'],['Sentai Filmworks'],['David Production'],['Manga'],"['Comedy', 'Supernatural']",,23 min.,PG-13 - Teens 13 or older,7.52,#1888,#2316,"93,560",102,49752,Unaired episode released with the seventh volume of the Blu-ray & DVD. It consists of three short episodes newly written by the manga author Fujiwara Cocoa. Fujiwara also designed a new character called Hana-chan for the episode.,"['Prequel (TV) Inu x Boku SS', '']",Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,,,,['Shounen'],,,
229,"Kaito Kid, Majikku Kaito, Kaitou Kid, Magic Kaitou, Detective Conan Special: Secret Birth of Kaito Kid, Kaitou Kid Tanjou no Himitsu",まじっく快斗,,['TV Special'],12,Finished Airing,"Apr 17, 2010 to Dec 29, 2012",,,"None found,","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.77,#1107,#2631,"76,027",355,33525,"Magic is not real—everyone knows that. When performed by a true expert, however, magic possesses the ability to amaze and wonder its audience. Kaito Kuroba, son of world-famous stage magician Touichi Kuroba, is no stranger to this fact. Well-versed in the arts of deception and misdirection, Kaito frequently disrupts the lives of those around him with flashy tricks and pranks. But when Kaito accidentally stumbles upon a hidden passage in his home, he discovers a secret that may well have been the cause of his father's death eight years ago—the dove-white outfit of Kid the Phantom Thief. Wanting to find out more about his father, Kaito dons the outfit and searches for the Pandora Gem that is said to grant immortality. However, he is not the only one after the gem—the organization responsible for his father's death is also hot on his tail! Magic Kaito follows the rebirth of Kaitou Kid, phantom thief of the night. Utilizing his dummies, disguises, and signature card gun, Kaito sets out to steal the world's most precious jewels, uncovering the truth behind his father's death and the rumored Pandora Gem along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Magic Kaito', '']",Magic Kaito,Magic Kaito: Kid Phantom Thief,,,['Shounen'],,,
230,"One Piece Special, Episode of Nami: Tears of a Navigator and the Bonds of Friends",ワンピースエピソード・オブ・ナミ～航海士の涙と仲間の絆～,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends,['TV Special'],1,Finished Airing,"Aug 25, 2012",,,['Fuji TV'],"None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,1 hr. 46 min.,PG-13 - Teens 13 or older,8.11,#508,#2709,"72,854",83,39983,"Nami betrays the Straw Hat crew and steals their ship and treasures, escaping to Arlong Park. Luffy and his crew follow her, only to come face to face with the infamous pirate Arlong, a ruthless fish-man who has taken over Nami's home island with force and Naval bribes. As opinions clash and the Straw Hats attempt to convince Nami to rejoin the team, her true motivation behind the deception will be revealed at last. [Written by MAL Rewrite]",[],One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,One Piece: Episode of Nami - Die Tränen der Navigatorin - Die Verbundenheit der Kameraden,,One Piece: Épisode de Nami: Les Larmes de La Navigatrice et Le Lien Qui Unit Les Compagnons,['Shounen'],,,
231,"Kuroko no Basket NG Collection, Kuroko no Basket Specials",黒子のバスケNG集,Kuroko's Basketball Specials,['Special'],9,Finished Airing,"Jul 27, 2012 to Mar 22, 2013",,,"None found,","None found,",['Production I.G'],['Manga'],"['Comedy', 'Sports']","['School', 'Team Sports']",4 min. per ep.,PG-13 - Teens 13 or older,7.65,#1422,#2815,"67,960",54,33747,"Animated bloopers, based on the extra section of the original manga series, included with the BD/DVD series for Kuroko no Basket (both limited and normal editions).",[],Kuroko no Basket NG-shuu,,,,['Shounen'],,,
232,Hagure Yuusha no Estetica Specials,はぐれ勇者の鬼畜美学〈エステティカ〉恥じらいいっぱい,Aesthetica of a Rogue Hero Specials,['Special'],6,Finished Airing,"Sep 26, 2012 to Feb 27, 2013",,,"None found,",['Funimation'],['Arms'],Unknown,"['Comedy', 'Ecchi']",,3 min. per ep.,R+ - Mild Nudity,6.49,#7165,#3340,"49,469",44,22383,DVD/BD Specials,[],Hagure Yuusha no Aesthetica: Hajirai Ippai,,,,,,['Isekai'],
233,P4A,ペルソナ4アニメーション,,['Special'],1,Finished Airing,"Aug 22, 2012",,,['Aniplex'],['Sentai Filmworks'],['AIC ASTA'],Game,"['Adventure', 'Mystery', 'Sci-Fi', 'Supernatural']","['School', 'Super Power']",30 min.,PG-13 - Teens 13 or older,7.49,#2016,#3402,"47,564",31,24784,New episode included with the 10th blu-ray volume. The episode will adapt the true ending from the original PS2 game.,"['Prequel (TV) Persona 4 the Animation', '']",Persona 4 the Animation: No One is Alone,,,,,,,
234,"Accel World Specials, Accelerated World Specials",あくちぇる・わーるど。,,['Special'],8,Finished Airing,"Jul 25, 2012 to Feb 27, 2013",,,"None found,",['VIZ Media'],['J.C.Staff'],['4-koma manga'],"['Comedy', 'Sci-Fi']",,3 min. per ep.,PG-13 - Teens 13 or older,6.17,#8982,#3646,"42,359",26,19304,Spin-off of Accel World included on the anime Blu-ray/DVDs.,"['Adaptation (Manga) Acchel World.', '']",Accel World: Acchel World.,,,,,,,
235,"Papakiki Special, Listen to Me, Girls, I'm Your Father! Special, Listen to Me, Girls. I Am Your Father!: Warm Fuzzies",パパのいうことを聞きなさい！ぽっかぽか,,['Special'],1,Finished Airing,"Jul 11, 2012",,,"None found,",['Sentai Filmworks'],['feel.'],['Light novel'],"['Comedy', 'Romance']",,23 min.,PG-13 - Teens 13 or older,7.16,#3597,#3686,"41,521",19,23519,Unaired episode included in the fifth Blu-ray and fourth DVD volume.,"['Prequel (TV) Papa no Iukoto wo Kikinasai!', 'Sequel (OVA) Papa no Iukoto wo Kikinasai! OVA']",Papa no Iukoto wo Kikinasai!: Pokkapoka,,,,,,['Childcare'],
236,"Carnival Phantasm (2013), Carnival Phantasm Special Season",カーニバル・ファンタズム ひびちかスペシャル,,['Special'],1,Finished Airing,"Jul 7, 2012",,,['Notes'],"None found,",['Lerche'],['Manga'],"['Comedy', 'Supernatural']",,26 min.,PG-13 - Teens 13 or older,7.32,#2711,#3975,"35,478",7,19760,A new episode of Carnival Phantasm released on the Type-moon Fes - 10th Anniversary Event - Blu-ray.,[],Carnival Phantasm: HibiChika Special,,,,,,,
237,"Dakara Boku wa, H ga Dekinai Episode 7.5, Dakara Boku wa, H ga Dekinai Special",だから僕は、Hができない。,"So, I Can't Play H! Recap",['TV Special'],1,Finished Airing,"Aug 24, 2012",,,"['Geneon Universal Entertainment', 'Sotsu', 'Lantis']","None found,",['feel.'],['Light novel'],"['Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Harem', 'School']",23 min.,R+ - Mild Nudity,6.45,#7374,#4502,"27,408",22,12255,Recap episode aired between episodes 7 and 8.,[],"Dakara Boku wa, H ga Dekinai. Recap",,,,,,,
238,Jintai Specials,人類は衰退しました,Humanity Has Declined Specials,['Special'],6,Finished Airing,"Sep 19, 2012 to Feb 20, 2013",,,"None found,",['Sentai Filmworks'],['AIC ASTA'],['Light novel'],"['Comedy', 'Fantasy']",,2 min. per ep.,PG-13 - Teens 13 or older,7.18,#3448,#5103,"20,369",7,10258,DVD/BD Extras.,[],Jinrui wa Suitai Shimashita Specials,,,,,,,
239,,バクマン。 スペシャル「デラマン。」,,['Special'],2,Finished Airing,"Sep 29, 2012 to Jan 2, 2013",,,['NHK'],"None found,",['J.C.Staff'],['Manga'],,"['Otaku Culture', 'School']",25 min. per ep.,PG-13 - Teens 13 or older,7.17,#3505,#5361,"17,875",11,5138,Summary of the previous two seasons of Bakuman.,"['Sequel (TV) Bakuman. 3rd Season', '']",Bakuman. Deraman.,,,,['Shounen'],['Comedy'],,
